ADD	18	34	1
ADDF	58	34	1
ADDR	90	2	2
AND	40	34	1
CLEAR	B4	2	1
COMP	28	34	1
COMPF	88	34	1
COMPR	A0	2	2
DIV	24	34	1
DIVF	64	34	1
DIVR	9C	2	2
FIX	C4	1	0
FLOAT	C0	1	0
HIO	F4	1	0
J	3C	34	1
JEQ	30	34	1
JGT	34	34	1
JLT	38	34	1
JSUB	48	34	1
LDA	00	34	1
LDB	68	34	1
LDCH	50	34	1
LDF	70	34	1
LDL	08	34	1
LDS	6C	34	1
LDT	74	34	1
LDX	04	34	1
LPS	D0	34	1
MUL	20	34	1
MULF	60	34	1
MULR	98	2	2
NORM	C8	1	0
OR	44	34	1
RD	D8	34	1
RMO	AC	2	2
RSUB	4C	34	0
SHIFTL	A4	2	2
SHIFTR	A8	2	2
SIO	F0	1	0
SSK	EC	34	1
STA	0C	34	1
STB	78	34	1
STCH	54	34	1
STF	80	34	1
STI	D4	34	1
STL	14	34	1
STS	7C	34	1
STSW	E8	34	1
STT	84	34	1
STX	10	34	1
SUB	1C	34	1
SUBF	5C	34	1
SUBR	94	2	2
SVC	B0	2	1
TD	E0	34	1
TIO	F8	1	0
TIX	2C	34	1
TIXR	B8	2	1
WD	DC	34	1
